name,latitude,longitude,rating,user_ratings_total,price_level,cuisine,source,place_id
Deluca's Italian Restaurant,40.51098799999999,-74.2413948,4.5,713,2.0,restaurant,google,ChIJVVVq2KHKw4kRtDExWgrsuO8
Dani's Italian Bistro,40.5111528,-74.2417001,4.5,108,2.0,restaurant,google,ChIJGwx_fJ_Kw4kRny1yq4WnfRU
Cracker Barrel Deli,40.51056670000001,-74.24854119999999,4.0,111,2.0,restaurant,google,ChIJl8GODJzKw4kRIa6MfpzFw8A
Mangia,40.5092828,-74.24661309999999,4.6,232,2.0,restaurant,google,ChIJJUytWpnKw4kR_4LxIThf9vc
Kim's Island,40.5107736,-74.2482624,4.5,99,1.0,restaurant,google,ChIJJQz5EZzKw4kRCZ95UajbyGw
Tres Amigos Taqueria & Restaurant,40.5090013,-74.2467023,4.5,299,2.0,restaurant,google,ChIJQ4oyARzLw4kRXKbILKFUVV0
Mikey Bagels,40.50987579999999,-74.2437894,4.5,218,1.0,restaurant,google,ChIJtx62LZ_Kw4kRGbtfXMjjPXk
The Creperie Corner,40.5100644,-74.24408,4.8,56,,restaurant,google,ChIJ7beiVJrLw4kRxYWEh0cgxmk
Keke's Grab N' Go,40.5100248,-74.24392569999999,4.4,83,2.0,restaurant,google,ChIJN2c6L5_Kw4kRVA7mLIa2eyY
Gigi's Cafe & Keke's Pizzeria,40.5100828,-74.2439936,4.6,93,2.0,restaurant,google,ChIJZTzEKJ_Kw4kRBEkeoKf0YZ0
Taqueria Oaxaca,40.5109187,-74.2485147,4.2,180,1.0,restaurant,google,ChIJ03RREpzKw4kRDyLKJR7lwJ4
Rita's Italian Ice & Frozen Custard,40.5110402,-74.2486428,4.8,29,1.0,restaurant,google,ChIJ59v9c65LwokRaQDhIrj30w4
Rocky's Pizza Bar,40.51101119999999,-74.242012,4.4,39,,restaurant,google,ChIJ-c9-EwDLw4kRSjbRuHeclU8
Coral Bay Cafe,40.4992432,-74.2390059,4.2,237,2.0,restaurant,google,ChIJ8Zcs173Kw4kRbIjQkXWb_48
Dunkin',40.51097720000001,-74.2409529,3.2,19,1.0,restaurant,google,ChIJY3pYcyHLw4kR56TIh7oPfI4
Shell,40.50754,-74.22966,3.9,11,,restaurant,google,ChIJo1B249zLw4kR45kg8eTmJjo
Chef Hong II,40.512152,-74.239057,4.3,133,1.0,restaurant,google,ChIJsdt-W6DKw4kRXdfcvg_BsTc
Angelina's Restaurant,40.5134807,-74.2515884,4.4,972,3.0,restaurant,google,ChIJd-F5EJ3Kw4kR1TKzg-9DQdk
Towne Deli & Pizzeria,40.51350499999999,-74.2481014,4.4,728,2.0,restaurant,google,ChIJ2V-xxJ3Kw4kRxRjvo74pg1Q
Paradise Island,40.5155194,-74.24934979999999,4.0,231,2.0,restaurant,google,ChIJIYJSgOfLw4kR6M63qFfPOho
Fina's Farmhouse,40.51734,-74.2409737,4.1,197,2.0,restaurant,google,ChIJg0dolBu1w4kRjofT2os5QFI
Subway,40.5169606,-74.2333084,4.0,92,1.0,restaurant,google,ChIJ1_UebVm1w4kRV3k-1GSarWg
Zio Toto Restaurant and Bar,40.5221056,-74.2355278,4.3,279,2.0,restaurant,google,ChIJF_O7X1u1w4kRseVXFKDiyMM
E Squared Cafe & Hookah Lounge,40.51797120000001,-74.2361823,4.2,33,,restaurant,google,ChIJve5z4lu1w4kRZbfjgKLcgMU
Villa Monte Pizzeria South,40.5166363,-74.2344864,4.2,243,2.0,restaurant,google,ChIJq6rqPFm1w4kRKqEtEpUEERQ
